Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-6100,CHATELET Est,WW1,44.53935,6.78428,JN34JM
FBOTA,227,B/F-6101,CHATELET Ouest,WW1,44.53926,6.78194,JN34JM
FBOTA,227,B/F-6102,CHATELET Sud-Ouest,WW1,44.53733,6.78349,JN34JM
FBOTA,227,B/F-6103,CHATELET Sud-Est,WW1,44.53688,6.78472,JN34JM
FBOTA,227,B/F-6104,FOUILLOUSE (Poste de garde),WW1,44.53002,6.79636,JN34JM
FBOTA,227,B/F-6105,FOUILLOUSE E9,WW1,44.52962,6.79883,JN34JM
FBOTA,227,B/F-6106,FOUILLOUSE E11,WW1,44.52960,6.79815,JN34JM
FBOTA,227,B/F-6107,FOUILLOUSE 3,WW1,44.52957,6.79965,JN34JM
FBOTA,227,B/F-6108,FOUILLOUSE 2,WW1,44.52938,6.79827,JN34JM
FBOTA,227,B/F-6109,FOUILLOUSE E6,WW1,44.52928,6.79849,JN34JM
FBOTA,227,B/F-6110,FOUILLOUSE E10,WW1,44.52925,6.79687,JN34JM
FBOTA,227,B/F-6111,FOUILLOUSE E7,WW1,44.52923,6.79822,JN34JM
FBOTA,227,B/F-6112,FOUILLOUSE Abri 1,WW1,44.52919,6.79783,JN34JM
FBOTA,227,B/F-6113,FOUILLOUSE 4,WW1,44.52865,6.79917,JN34JM
FBOTA,227,B/F-6114,FOUILLOUSE Abri 2,WW1,44.52863,6.79823,JN34JM
FBOTA,227,B/F-6115,FOUILLOUSE E4-5,WW1,44.52855,6.79907,JN34JM
FBOTA,227,B/F-6116,FOUILLOUSE C1,WW1,44.52749,6.79963,JN34JM
FBOTA,227,B/F-6117,PLATE LOMBARDE,WW1,44.51556,6.82512,JN34JM
FBOTA,227,B/F-6118,PLATE LOMBARDE,WW1,44.51553,6.82311,JN34JM
FBOTA,227,B/F-6119,SERRE la PLATE (SLP),WW1,44.48334,6.78997,JN34JL
FBOTA,227,B/F-6120,NORD EST de SAINT OURS (NESO),WW1,44.48105,6.81181,JN34JL
FBOTA,227,B/F-6121,SAINT OURS HAUT (SOH),WW1,44.47806,6.81777,JN34JL
FBOTA,227,B/F-6122,NORD OUEST de FONTVIVE (NOF),WW1,44.47800,6.80657,JN34JL
FBOTA,227,B/F-6123,COL de VIRAYSSE,WW1,44.47429,6.85878,JN34KL
FBOTA,227,B/F-6124,SAINT OURS BAS (SOB),WW1,44.47176,6.80870,JN34JL
